,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
621,binance.us-eth-usd-spot,2021-06-05 00:00:00+00:00,2689.95,2628.73,2817.19,2552.42,2669.089671824151,29079.31196,77615291.2161885,94868,binance.us,eth,usd
622,binance.us-eth-usd-spot,2021-06-06 00:00:00+00:00,2628.64,2711.56,2745.0,2614.28,2689.945535755875,17694.05532,47596045.1174515,64424,binance.us,eth,usd
623,binance.us-eth-usd-spot,2021-06-07 00:00:00+00:00,2712.86,2593.48,2847.0,2571.45,2717.923916096539,28978.77125,78762095.43946579,93937,binance.us,eth,usd
624,binance.us-eth-usd-spot,2021-06-08 00:00:00+00:00,2592.67,2509.69,2621.79,2304.0,2480.540705287785,40098.47939,99465910.34703828,132139,binance.us,eth,usd
625,binance.us-eth-usd-spot,2021-06-09 00:00:00+00:00,2508.74,2610.81,2627.46,2407.51,2529.629797210506,36369.46098,92001272.20349282,109538,binance.us,eth,usd
626,binance.us-eth-usd-spot,2021-06-10 00:00:00+00:00,2611.15,2472.22,2624.97,2428.23,2523.675534781542,22535.73301,56872878.0557058,78606,binance.us,eth,usd
627,binance.us-eth-usd-spot,2021-06-11 00:00:00+00:00,2470.32,2354.05,2498.59,2320.56,2424.686853824274,20921.85937,50728957.3719992,72430,binance.us,eth,usd
628,binance.us-eth-usd-spot,2021-06-12 00:00:00+00:00,2353.5,2370.65,2454.74,2257.3,2354.431336145584,18663.07886,43940937.6969402,77033,binance.us,eth,usd
629,binance.us-eth-usd-spot,2021-06-13 00:00:00+00:00,2371.37,2509.46,2551.03,2309.12,2418.988026980427,17801.48047,43061568.119455904,70227,binance.us,eth,usd
630,binance.us-eth-usd-spot,2021-06-14 00:00:00+00:00,2510.94,2581.99,2609.24,2462.47,2533.513781922945,17660.53306,44743203.9036158,62161,binance.us,eth,usd
631,binance.us-eth-usd-spot,2021-06-15 00:00:00+00:00,2582.15,2543.59,2640.28,2507.82,2576.862608460425,15951.42794,41104638.2101369,57987,binance.us,eth,usd
